Constraint ID,Constraint Category,Constraint Name,Regulatory Source,Model Type,Process Perspective,Granularity,Lifecycle Phase,Event Log Availability
CE-046,DNSH Circular Economy,BMS required from May 2024,Directive 2023/1542,declarative,data,within,execution,yes
CM-002,Substantial Contribution to Climate Mitigation,GHG emission reductions in production process,"Taxonomy Annex I, Sec. 3.4",declarative,data,within,monitoring,yes
PP-001,DNSH Pollution Prevention and Control,Substance use restriction,Appendix C: POPs Regulation (EU) 2019/1021,declarative,data,within ,execution,yes
PP-002,DNSH Pollution Prevention and Control,Ban of mercury-added products,"Appendix C: Regulation (EU) 2017/852, Art. 2",declarative,data,within,execution,yes
PP-003,DNSH Pollution Prevention and Control,Ban of ozone-depleting substances,Appendix C Regulation (EC) No 1005/2009,declarative,data,within,execution,yes
PP-004,DNSH Pollution Prevention and Control,Ban of RoHS substances,"Appendix C Directive 2011/65/EU, Annex II",declarative,data,within,execution,yes
PP-005,DNSH Pollution Prevention and Control,Ban of REACH substances,"Appendix C Regulation (EC) 1907/2006, Annex XVII",declarative,data,within,execution,yes
PP-006,DNSH Pollution Prevention and Control,Ban of SVHCs >0.1%,Appendix C to EU Taxonomy,declarative,data,between,execution,yes
PP-008,DNSH Pollution Prevention and Control,Hazardous substance restriction in batteries,EU Taxonomy 3.4,declarative,data,within,execution,yes
PP-008-01,DNSH Pollution Prevention and Control,Lead <= 0.01% ,Appendix C to EU Taxonomy,declarative,data,within,execution,yes
PP-008-02,DNSH Pollution Prevention and Control,Cadium <= 0.002%,Appendix C to EU Taxonomy,declarative,data,within,execution,yes
